company,quarter,primary_industry,question,answer,summary,question_LM_Positive,question_LM_Negative,question_LM_Polarity,question_LM_Subjectivity,question_HIV4_Positive,question_HIV4_Negative,question_HIV4_Polarity,question_HIV4_Subjectivity,answer_LM_Positive,answer_LM_Negative,answer_LM_Polarity,answer_LM_Subjectivity,answer_HIV4_Positive,answer_HIV4_Negative,answer_HIV4_Polarity,answer_HIV4_Subjectivity,question_Uncertainty,question_Litigious,question_Constraining,answer_Uncertainty,answer_Litigious,answer_Constraining
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"The first question on the quantum bandwidth to a North American cable order that you referenced in the quarter, just explain to us how is that similar or different from the – 1.8 gigahertz amplifiers that drove the sequential increase in the quarter. Is that a different product and a different customer, or is it related?","No, it's the same. Quantum bandwidth is a suite of products that includes amplifiers and other things. This was specifically for our 1.8 gigahertz quantum bandwidth amplifier products. So, yeah, it's the same product that we were talking about earlier.","The quantum bandwidth discussed in the question refers to the same suite of products, including the 1.8 gigahertz amplifiers that contributed to the sequential increase in the quarter. Thus, it involves the same product line and customer.",0,1,-0.999999,0.052631576,3,4,-0.142857122,0.368421033,0,0,0,0,6,0,0.999999833,0.333333315,0,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"Could you kind of give us any more color on, I mean, obviously the data center opportunity is a multi-year opportunity and we're, you know, identified some targets sort of for the second half of the year. But if we think about the quarter itself and the first quarter, you know, with three hyperscale customers that we sort of know about, just, you know, how are the quarter versus your expectations different? Are things going slower in the near term, or are they going according to your expectations? Just a little bit more color on data center would be helpful.","I think it's pretty much in line with our expectations. We've said pretty consistently for a while that 400 gig was going up, which it is. It's up almost 4x year over year. Meanwhile, 100 gig is gradually declining, which is what we've said for a while as well. And that 800 gig and 1.6 terabit will start ramping. I mean, 800 gig later this year, 1.6 terabits maybe later this year, more likely 2026. So all this is in line with what we've expected.","The data center opportunity is progressing as anticipated, with 400 gig sales increasing significantly while 100 gig sales decline. Future developments for 800 gig and 1.6 terabit are on track, aligning with previous expectations.",2,1,0.333333222,0.081081079,10,4,0.428571398,0.378378368,0,1,-0.999999,0.034482757,4,1,0.59999988,0.172413787,1,0,0,2,0,0
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"And for your 400G result in the quarter, or what 400G could be in 1Q, is that gated by capacity? Or is capacity not an issue in 400G?","The capacity is sort of a moving target, right? We're adding capacity as demand, you know, shows that to be prudent, right? In other words, we're not getting too far ahead on the capacity expansion plan. So, you know, there's a number of different products that go into the 400 gig mix. Some of those were at capacity. Others were a little below. But, you know, in general, we're trying to keep capacity in line with demand.","The 400G results are influenced by capacity, which is adjusted based on demand. While some products are at capacity, others are not, and the company aims to align capacity expansion with market needs.",0,0,0,0,0,0,0,0,0,0,0,0,8,5,0.230769213,0.371428561,1,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"The 120 to 150 million capex target in 2025. I actually suspected that maybe it could have even been higher than that. So I'm kind of wondering, is that like a number that would have to be repeated in the next year? Or, or does that get you multiple years of revenue growth?","So one would say 150? Let's put it this way. Our hope is that we're going to continue to make sizable capital investments because that means that our revenue in the future is expected to continue to ramp, which is what I think, based on what we're hearing from our data center customers, this is a multi-year upgrade cycle that they're going through with respect to their AI data centers. And to that extent, if we're participating in that, then our expectation is that we would continue to see increased demand you know, not just 2025 and we're done. So, you know, I can't give you any kind of guidance on what we're going to be in 2026 in terms of CapEx, but, you know, I think it would be a very good sign if we continue to invest, you know, substantial amounts. Well, let me say that based on the information we have from four or five customers, I think by end of next year, The demand for the 800G 1.6T single mode transceiver could be more than $200,000 per month or even $250,000 per month. But I think we want it to be conservative because, you know, the demand changes from time to time. We will not invest until we got the commitment or maybe the sign contract with customers. But this year, I think we are very competent. the demand there, and that's why we need to speed up the investment, especially in Houston. I think really we need to make it to even Houston because I think that's required by the customers.","The speaker expresses optimism about the 120 to 150 million capex target for 2025, suggesting it could lead to sustained revenue growth due to a multi-year upgrade cycle in AI data centers. They anticipate continued demand for their products, particularly in Houston, but emphasize the need for customer commitments before making further investments.",0,1,-0.999999,0.066666662,4,2,0.333333278,0.399999973,1,1,0,0.020408163,21,4,0.679999973,0.255102038,2,0,0,2,1,2
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"So I just wanted to hit on 400 gig for a little bit. Maybe you could break out of the 14 million, like how much was, um, the Microsoft AOC agreement. And then, you know, thinking of just about how the, maybe the front end, um, in the 400 days, like demand there, how, how you expect that to trend, uh, into March and, and, um, I don't follow up.","Yeah, I can't really comment on customer-specific products and all that. That would be covered under NDA. But I can say that we've been pretty consistent that the Microsoft program would ramp later this year, and that's consistent with the forecast that we're continuing to see. But with respect to exactly how much we sold this quarter, we don't break that out.","The question inquires about the specifics of the Microsoft AOC agreement and demand trends for 400 gig products. The answer indicates that customer-specific details are confidential, but confirms that the Microsoft program is expected to ramp up later this year, aligning with their forecasts.",0,1,-0.999999,0.038461537,5,3,0.249999969,0.307692296,0,1,-0.999999,0.037037036,6,1,0.714285612,0.25925925,3,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"Just, you know, the... I know that that was targeted more to the back end. I'm just thinking the 400 gig that's more front end related. Or is some of the 400 gig that you're getting into business, should we consider that back end? And how do you expect that dynamic to trend into March? Thank you.","Well, again, we don't give forward guidance by product line either, so I can't really comment on exactly what we're expecting. No, let me say that. Okay. Right now, we can see very strong demand for 400G single-mode transceiver for maybe two kilometers or 10 kilometers. That's why we are adding another capacity too, not only 800G, but that's not the majority of this year. So basically, I would say within a few months, I would say, I don't know, June or July, I think the single mold capacity, we need to be maybe, I would say, minimum 50,000 to 70,000 per month. The multi-mold, I think we have to go up maybe 120,000 per month, maybe by similar times, all right? June, July, August, just based on the demand we see, all right? That's how far I can say. But we have many customers, okay? Maybe, I don't know, five or six. 7,000, all right, or in the U.S., 2,000, all right? Anything else?","The question inquires about the classification of 400G technology and its expected demand trends. The answer indicates strong demand for 400G single-mode transceivers, with plans to increase production capacity significantly by mid-year, although no specific forward guidance is provided.",0,0,0,0,5,2,0.428571367,0.333333317,0,0,0,0,11,2,0.692307639,0.194029848,0,0,0,5,0,0
"Applied Optoelectronics, Inc.",Q4 2024,Technology and Communications,"Maybe just clarify, I'm sorry if I missed this, but like embedded within the guidance for March, where do you see, you know, like CAT TV versus data center sales? Data center should be up, I'm assuming, and maybe some moderation in CAT TV. Thank you.","Yeah, I mean, again, we don't really break it out by product line like that, but I think we've said pretty consistently that we're going to reach a kind of plateau in CATV revenue. I mean, I've been pretty consistent in past calls talking about how at some level our CATV revenue is limited by the rate at which our","The question seeks clarification on the expected performance of CAT TV versus data center sales in March, with an assumption of growth in data center sales and moderation in CAT TV. The answer indicates that while specific product line breakdowns are not provided, CAT TV revenue is expected to plateau.",0,0,0,0,6,1,0.714285612,0.304347813,0,2,-0.9999995,0.071428569,7,2,0.555555494,0.32142856,3,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"I guess my first question is, is this on 400G, right? I mean, it seems like maybe you've seen this coming for a little while, that there's higher 400G demand now from multiple customers. What do you think is driving that, and do you think that that's sustainable, or will it start to roll off when we go to higher speeds?","No. It's being driven by demand from our data center customers for interconnections, primarily for their AI networks, and I would not anticipate that that demand is going to decrease in the near term or even medium term. 400 gig is what they're using for their next generation architectures for these applications, and we expect the demand to continue and perhaps even grow from here. As I mentioned, we have at least one new customer that's only beginning to purchase 400 gig from us, and I think there's significant room to ramp with that customer, as well as potentially an overall growth in the market as more AI gets deployed.","The demand for 400G is driven by data center customers needing interconnections for AI networks, and this demand is expected to remain strong and potentially grow in the near to medium term. New customers are starting to purchase 400G, indicating further market expansion as AI technology advances.",0,1,-0.999999,0.045454543,3,2,0.19999996,0.227272717,0,0,0,0,5,2,0.428571367,0.162790694,2,0,0,2,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"Okay, great. I guess on 800G... Can you comment, you know, what kind of transceivers you expect to be selling within this discussion of Vixels, EMLs, and silicon photonics? Will you participate in, you know, all three or one or two more than the other?","You know, our primary focus has been historical for us, mainly on the edumating technology, so that would be the electroabsorption modulated lasers, and also on the silicon photonics-based solutions. Both of those are the ones that we're pursuing most aggressively. You know, we do have some interest in VIXL-based solutions, and we do have our own capability for manufacturing VIXL. So, you know, there will probably be some sales, but we're expecting the bulk of the demand that we're going to satisfy to be on the longer-distance transmitters.","The company primarily focuses on electroabsorption modulated lasers (EMLs) and silicon photonics for 800G transceivers, while also showing some interest in VIXL solutions. They anticipate most of their sales will come from longer-distance transmitters.",1,0,0.999999,0.062499996,5,0,0.9999998,0.31249998,1,0,0.999999,0.025641025,8,1,0.777777691,0.230769225,0,0,0,1,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"Right. And then based on all your comments, I mean, it seems like, you know, I guess maybe if we include Oracle as number five, but if we're really talking about the four kind of household names on hyperscalers. It sounds like three are customers now and the other one you're talking to. Is that fair?","Again, you know, without talking about different names, I think, you know, we do think we have three out of the top five data center customers, yes.","The question inquires about the status of relationships with major hyperscaler customers, suggesting that three are currently clients while discussions are ongoing with a fourth. The answer confirms that they believe they have three out of the top five data center customers.",0,0,0,0,6,0,0.999999833,0.285714272,0,0,0,0,2,1,0.333333222,0.272727248,2,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"Okay. And then just finally for me, just kind of help us understand, I mean, the cable's good and I guess that will get bigger and then the Is 800G and then 1.6, does that drive higher margins? What's the outlook for margins over time? Any detail you give there would be helpful.","Sure. So cable TV margins right now are higher than data center margins. We do expect cable TV margins to improve. As we noted in our prepared remarks earlier, you know, there's economies of scale, efficiencies, and things that we need to wring out of the manufacturing process there, and we expect that to happen over the next couple of quarters. So there's some room for improvement on the cable TV margins. With respect to data center, yes, the transition to 800G and 1.6 terabit should be accretive to gross margin as well. So that's, again, you know, as we said in our prepared remarks, We think a 40% margin is a good long-term target for us to have, and growth in both energy, 1.6 terabits, and cable is really what it's going to take to get there.","The question inquires about the potential for higher margins from cable TV and data center transitions to 800G and 1.6 terabits. The answer indicates that cable TV margins are currently higher than data center margins, with expectations for improvement in both areas, aiming for a long-term target of 40% margin.",0,0,0,0,5,4,0.111111099,0.473684186,3,0,0.999999667,0.051724137,9,8,0.058823526,0.293103443,0,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"I just want to talk about the guidance here. You're obviously looking for a pretty sharp uptick here in the Q4. I think on the last call you said you expected cable to be a primary driver in Q3, which it looks like it was, and maybe shifting back over to data center in Q4 as the primary growth driver. So the question is, does that remain the case? And then is you know, maybe try and comment on some details on what's driving that. Sounds like ASCs at Microsoft should be ramping up, also your new 400 gig transceiver customer. You mentioned you also expect some 800 gig revenue. If you look at that, I don't know if it's 30 million or so sequential increase in data center, can you give a sense of what are the different factors and or customers driving that?","Yeah, so overall our expectations regarding Q4 are pretty much what we communicated last time. We do see continued growth in cable, but we also see strong growth in the data center, largely driven by 400G at this point, as has been the case for a while for us. We do actually see some continuing strength in 100G as well, interestingly enough. And then the 800G will be a factor for us a little bit in Q4, but it won't likely be material in Q4, but it should start to ramp in Q1. So that's kind of how things break down. And then, of course, the cable, again, as I said earlier, the margins on cable should start to improve in Q4 and Q1 as well.","The speaker confirms that expectations for Q4 remain consistent, with continued growth in both cable and data center segments, particularly driven by 400G technology. They anticipate some contribution from 800G in Q4, with more significant growth expected in Q1, and also note improving margins for cable products.",0,1,-0.999999,0.016393442,8,5,0.230769213,0.213114751,2,1,0.333333222,0.068181817,9,4,0.384615355,0.295454539,2,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"I just want to make sure I understand your customer commentary. I don't know if you snuck a new hyperscaler in there in the comments. You've had another 10% customer outside of Microsoft these last couple of quarters that I think you've described as a hyperscaler in the past. I gather, you know, given your commentary about fairly early days and your new 400 gig customer that, you know, you haven't seen those sorts of volumes yet. I guess, you know, would you expect to in Q4 and might, might that customer rise to the 10% level? And outside of those three, are we missing anybody else in terms of advanced engagements from a hyperscale perspective?","So the 10% customer that we have this quarter on the data center is the same 10% customer that we had last quarter. That helps. and that would imply that this new hyperscale customer, which is really a re-engaging customer from, I mean, it's not a brand new customer to us. It's one that was formerly a pretty sizable customer for us, but we're sort of re-engaging with them. You know, I think they'll likely grow in Q4. It's unclear that they're going to grow. I would not expect them to be a 10% customer in Q4, especially, you know, given the revenue growth that we're seeing, that the bar to get to 10% certainly becomes But we definitely think that they can ramp to be a 10% customer in the next few quarters.","The question seeks clarification on customer commentary regarding a potential new hyperscaler and its expected growth in Q4. The answer confirms that the current 10% customer is the same as last quarter, while a re-engaging customer may grow but is not expected to reach 10% in Q4, though it could in the following quarters.",1,0,0.999999,0.022222222,8,3,0.454545413,0.244444439,0,1,-0.999999,0.02173913,8,4,0.333333306,0.26086956,2,0,0,1,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"You've kind of estimated – well, let me go to another one. You mentioned elevated CapEx and capacity expansion. From a revenue capacity perspective – Where are you in the U.S. right now and where will these capacity investments take you over the next few quarters?","You know, we haven't disclosed a specific revenue number coming out of the U.S. As you can imagine, our manufacturing operations are pretty integrated across multiple different locations. In other words, we're doing different operations in different places, but we do expect to continue to invest primarily in the U.S. and Taiwan for manufacturing capacity over the next few quarters, as we noted in our prepared remarks. And that will allow us to continue to execute on the revenue growth trajectory that we outlined.",The company has not disclosed specific U.S. revenue figures but plans to invest in manufacturing capacity in the U.S. and Taiwan over the next few quarters to support revenue growth.,0,0,0,0,2,1,0.333333222,0.166666657,1,1,0,0.05128205,12,4,0.499999969,0.4102564,0,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"It sounded like maybe I misheard, but it sounded like maybe the Microsoft supply revenue this quarter was maybe slightly weaker than what we were thinking. I mean, it was up. It sounded like it was up, but maybe it was only like less than $5 million still. Is that fair? And do you think that – If that is the case, are you still confident in, you know, reaching, trying to reach like, I don't know, like low 20 million run rate next quarter for that business?","So, yeah, it was below 5 million in this quarter. With respect to next quarter, you know, it's hard to say. It's ramping a little slower than we expected. That is a fair statement. But, you know, we are still committed to reaching that $25 million per quarter level. It's just unclear which order that's going to occur in at this point. So it's more about timing. What we are seeing is a lot of increase in demand, as I mentioned earlier, for the 400 gig transceiver solutions. And, again, surprisingly, some strength in 100G as well.","The Microsoft supply revenue this quarter was indeed below $5 million, and while the company is committed to reaching a $25 million quarterly run rate, the timing for achieving that goal remains uncertain due to slower-than-expected ramp-up, despite increasing demand for certain products.",1,1,0,0.064516127,12,2,0.714285663,0.451612889,1,1,0,0.060606059,6,2,0.499999938,0.242424235,4,0,0,1,0,1
"Applied Optoelectronics, Inc.",Q3 2024,Technology and Communications,"Yeah, I was going to ask you about that, too. Especially the 400 gig, you know, I guess there's – the thinking is that, you know, everybody wants 800 gig for the back end. So 400 gig, I'm surprised it's not more front end. And then strength of 100 gig sounds like maybe, you know, maybe there's a catch up in, you know, like I guess the legacy, maybe the legacy data center investment. But are you guys seeing that at all?","Yeah, I think on both accounts, yes. I mean, you know, It's easy for people to focus on one technology, I think, and say, okay, this is where the growth is going to be. But the reality is many of our hyperscale customers are growing their infrastructure in multiple different ways. It's not just one thing that they're doing. They're growing their existing infrastructure, and they're growing their new AI-focused infrastructure at the same time. So we're excited about all those opportunities. The reason why I highlighted the 100 gig is really that I want to draw people's attention to the","The question discusses the surprising demand for 400 gig technology and the potential legacy issues affecting 100 gig growth. The answer confirms that hyperscale customers are diversifying their infrastructure investments, focusing on both existing and new AI-related technologies.",1,0,0.999999,0.028571428,7,2,0.555555494,0.25714285,3,0,0.999999667,0.07317073,8,1,0.777777691,0.21951219,3,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q2 2024,Technology and Communications,"Let me start out with the new hyperscale win, which sounds nice and I guess something you guys have been shooting for for a bit. Can you give us a little bit more color on the nature of this? Is this another AOC type of device or any kind of color you can give us on the, you know, the contents of what you're selling in this new project?","Yeah, I mean, for confidentiality reasons, I really can't disclose too much about it, but it's a product that's more in line with our standard data center type transceiver product. And it is a 400-gig color. And there's a single mold.","The question inquires about a new hyperscale win and its specifics, while the answer reveals that, due to confidentiality, details are limited, but confirms it is a standard data center transceiver product, specifically a 400-gig model.",1,1,0,0.08333333,8,4,0.333333306,0.499999979,0,1,-0.999999,0.047619045,4,0,0.99999975,0.190476181,0,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q2 2024,Technology and Communications,"On the CATV side, I kind of thought we were bottoming last quarter, so a little bit surprised, but everything suggests that the ramp of DOCSIS 4 is still coming... maybe just slower than we once expected. So I'm wondering if you could level set us in terms of how you expect that product segment to develop. And maybe this is a little bit of an artificial metric, but I'm just trying to figure out where do we kind of get back to maybe a 25 million quarterly run rate? Is that a second half 25 event or can that happen earlier than that, any kind of guidance you could give us around the timing of the CATV ramp would help.","Well, as we said in our prepared remarks, I expect a substantial improvement in CATV revenue in Q3. So I expect we'll be back at the $25 million number before the end of the year on that ramp. The challenge that we have right now, as we noted in the cable TV section, is really on the gross margin in Q3. Based on the guide, what we expected was cable TV gross margin to come in significantly higher than our data center business. And in Q3, we had some cost overruns and things as we start to ramp this product. So we're expecting that and not be where we want it to ultimately settle off. So for us, the excitement in Q3 around the revenue ramp in CATB is real. It's a little bit muted because of the additional expenses that we're incurring, but those are temporary.","The question inquires about the expected development of the CATV segment and the timeline for reaching a $25 million quarterly run rate. The answer indicates that substantial improvement in CATV revenue is anticipated in Q3, with expectations to reach the $25 million mark by year-end, although gross margins may be impacted by temporary cost overruns.",0,2,-0.9999995,0.04347826,9,6,0.199999987,0.326086949,2,2,0,0.068965516,8,8,0,0.275862064,6,0,0,0,0,0
"Applied Optoelectronics, Inc.",Q2 2024,Technology and Communications,The share count is jumping in the guidance for the third quarter. Could you just help explain that?,"Yeah, I mean, it's a combination of, you know, stock grants that have already been made and some provision for additional issuance of shares.",The increase in share count for the third quarter guidance is due to existing stock grants and a provision for potential additional share issuance.,0,0,0,0,1,0,0.999999,0.249999938,0,0,0,0,1,0,0.999999,0.124999984,1,0,0,0,0,0
